id,name,language,tag,package,version,date_epoch,date
1,com.azure.resourcemanager:azure-resourcemanager-confluent:1.0.0-beta.3,java,azure-resourcemanager-confluent_1.0.0-beta.3,azure-resourcemanager-confluent,1.0.0-beta.3,1636608276,11/11/2021
2,com.azure.resourcemanager:azure-resourcemanager-signalr:1.0.0-beta.3,java,azure-resourcemanager-signalr_1.0.0-beta.3,azure-resourcemanager-signalr,1.0.0-beta.3,1636606853,11/11/2021
3,com.azure.resourcemanager:azure-resourcemanager-quota:1.0.0-beta.2,java,azure-resourcemanager-quota_1.0.0-beta.2,azure-resourcemanager-quota,1.0.0-beta.2,1636603745,11/11/2021
4,com.azure.resourcemanager:azure-resourcemanager-datafactory:1.0.0-beta.7,java,azure-resourcemanager-datafactory_1.0.0-beta.7,azure-resourcemanager-datafactory,1.0.0-beta.7,1636533701,11/10/2021
5,com.azure.resourcemanager:azure-resourcemanager-desktopvirtualization:1.0.0-beta.1,java,azure-resourcemanager-desktopvirtualization_1.0.0-beta.1,azure-resourcemanager-desktopvirtualization,1.0.0-beta.1,1636533610,11/10/2021
6,com.azure.resourcemanager:azure-resourcemanager-avs:1.0.0-beta.3,java,azure-resourcemanager-avs_1.0.0-beta.3,azure-resourcemanager-avs,1.0.0-beta.3,1636527787,11/10/2021
7,com.azure.resourcemanager:azure-resourcemanager-synapse:1.0.0-beta.4,java,azure-resourcemanager-synapse_1.0.0-beta.4,azure-resourcemanager-synapse,1.0.0-beta.4,1636526122,11/10/2021
8,com.azure.resourcemanager:azure-resourcemanager-dataprotection:1.0.0-beta.1,java,azure-resourcemanager-dataprotection_1.0.0-beta.1,azure-resourcemanager-dataprotection,1.0.0-beta.1,1636516091,11/10/2021
9,com.azure.resourcemanager:azure-resourcemanager-iotcentral:1.0.0,java,azure-resourcemanager-iotcentral_1.0.0,azure-resourcemanager-iotcentral,1.0.0,1636955590,11/15/2021
10,com.azure.resourcemanager:azure-resourcemanager:2.10.0,java,azure-resourcemanager_2.10.0,azure-resourcemanager,2.10.0,1637631181,11/23/2021
11,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/containerservice/armcontainerservice@v0.2.1,go,sdk/resourcemanager/containerservice/armcontainerservice/v0.2.1,sdk/resourcemanager/containerservice/armcontainerservice,v0.2.1,1637045499,11/16/2021
